bin_count,bin_freq,bin_range,x_value,bin_number
2,0.03571428571428571,"(-2.481, -2.277]",-2.481,1
0,0.0,"(-2.277, -2.072]",-2.277,2
1,0.017857142857142856,"(-2.072, -1.867]",-2.072,3
0,0.0,"(-1.867, -1.662]",-1.867,4
1,0.017857142857142856,"(-1.662, -1.457]",-1.662,5
1,0.017857142857142856,"(-1.457, -1.253]",-1.457,6
1,0.017857142857142856,"(-1.253, -1.048]",-1.253,7
0,0.0,"(-1.048, -0.843]",-1.048,8
2,0.03571428571428571,"(-0.843, -0.638]",-0.843,9
2,0.03571428571428571,"(-0.638, -0.434]",-0.638,10
13,0.23214285714285715,"(-0.434, -0.229]",-0.434,11
9,0.16071428571428573,"(-0.229, -0.024]",-0.229,12
9,0.16071428571428573,"(-0.024, 0.181]",-0.024,13
7,0.125,"(0.181, 0.386]",0.181,14
2,0.03571428571428571,"(0.386, 0.59]",0.386,15
2,0.03571428571428571,"(0.59, 0.795]",0.59,16
2,0.03571428571428571,"(0.795, 1.0]",0.795,17
0,0.0,"(1.0, 1.205]",1.0,18
1,0.017857142857142856,"(1.205, 1.41]",1.205,19
1,0.017857142857142856,"(1.41, 1.614]",1.41,20
